"CustomerID","Genre","Age","Income","Spending","Cluster","ClusterLabel"
78,"Male",40,54,48,4,"Adultos mayores con gasto medio-alto"
79,"Female",23,54,52,2,"Adultos con alto ingreso y bajo gasto"
80,"Female",49,54,42,4,"Adultos mayores con gasto medio-alto"
81,"Male",57,54,51,4,"Adultos mayores con gasto medio-alto"
82,"Male",38,54,55,2,"Adultos con alto ingreso y bajo gasto"
83,"Male",67,54,41,4,"Adultos mayores con gasto medio-alto"
84,"Female",46,54,44,4,"Adultos mayores con gasto medio-alto"
85,"Female",21,54,57,2,"Adultos con alto ingreso y bajo gasto"
86,"Male",48,54,46,4,"Adultos mayores con gasto medio-alto"
87,"Female",55,57,58,4,"Adultos mayores con gasto medio-alto"
88,"Female",22,57,55,2,"Adultos con alto ingreso y bajo gasto"
89,"Female",34,58,60,2,"Adultos con alto ingreso y bajo gasto"
90,"Female",50,58,46,4,"Adultos mayores con gasto medio-alto"
91,"Female",68,59,55,4,"Adultos mayores con gasto medio-alto"
92,"Male",18,59,41,2,"Adultos con alto ingreso y bajo gasto"
93,"Male",48,60,49,4,"Adultos mayores con gasto medio-alto"
94,"Female",40,60,40,4,"Adultos mayores con gasto medio-alto"
95,"Female",32,60,42,2,"Adultos con alto ingreso y bajo gasto"
96,"Male",24,60,52,2,"Adultos con alto ingreso y bajo gasto"
97,"Female",47,60,47,4,"Adultos mayores con gasto medio-alto"
98,"Female",27,60,50,2,"Adultos con alto ingreso y bajo gasto"
99,"Male",48,61,42,4,"Adultos mayores con gasto medio-alto"
100,"Male",20,61,49,2,"Adultos con alto ingreso y bajo gasto"
101,"Female",23,62,41,2,"Adultos con alto ingreso y bajo gasto"
102,"Female",49,62,48,4,"Adultos mayores con gasto medio-alto"
103,"Male",67,62,59,4,"Adultos mayores con gasto medio-alto"
104,"Male",26,62,55,2,"Adultos con alto ingreso y bajo gasto"
105,"Male",49,62,56,4,"Adultos mayores con gasto medio-alto"
106,"Female",21,62,42,2,"Adultos con alto ingreso y bajo gasto"
107,"Female",66,63,50,4,"Adultos mayores con gasto medio-alto"
108,"Male",54,63,46,4,"Adultos mayores con gasto medio-alto"
109,"Male",68,63,43,4,"Adultos mayores con gasto medio-alto"
110,"Male",66,63,48,4,"Adultos mayores con gasto medio-alto"
111,"Male",65,63,52,4,"Adultos mayores con gasto medio-alto"
112,"Female",19,63,54,2,"Adultos con alto ingreso y bajo gasto"
113,"Female",38,64,42,3,"Ingreso y gasto medio"
114,"Male",19,64,46,2,"Adultos con alto ingreso y bajo gasto"
115,"Female",18,65,48,2,"Adultos con alto ingreso y bajo gasto"
116,"Female",19,65,50,2,"Adultos con alto ingreso y bajo gasto"
117,"Female",63,65,43,4,"Adultos mayores con gasto medio-alto"
118,"Female",49,65,59,4,"Adultos mayores con gasto medio-alto"
119,"Female",51,67,43,4,"Adultos mayores con gasto medio-alto"
120,"Female",50,67,57,4,"Adultos mayores con gasto medio-alto"
121,"Male",27,67,56,2,"Adultos con alto ingreso y bajo gasto"
122,"Female",38,67,40,3,"Ingreso y gasto medio"
123,"Female",40,69,58,1,"Jóvenes con alto gasto"
124,"Male",39,69,91,1,"Jóvenes con alto gasto"
125,"Female",23,70,29,3,"Ingreso y gasto medio"
126,"Female",31,70,77,1,"Jóvenes con alto gasto"
127,"Male",43,71,35,3,"Ingreso y gasto medio"
128,"Male",40,71,95,1,"Jóvenes con alto gasto"
129,"Male",59,71,11,3,"Ingreso y gasto medio"
130,"Male",38,71,75,1,"Jóvenes con alto gasto"
131,"Male",47,71,9,3,"Ingreso y gasto medio"
132,"Male",39,71,75,1,"Jóvenes con alto gasto"
133,"Female",25,72,34,3,"Ingreso y gasto medio"
134,"Female",31,72,71,1,"Jóvenes con alto gasto"
135,"Male",20,73,5,3,"Ingreso y gasto medio"
136,"Female",29,73,88,1,"Jóvenes con alto gasto"
137,"Female",44,73,7,3,"Ingreso y gasto medio"
138,"Male",32,73,73,1,"Jóvenes con alto gasto"
139,"Male",19,74,10,3,"Ingreso y gasto medio"
140,"Female",35,74,72,1,"Jóvenes con alto gasto"
141,"Female",57,75,5,3,"Ingreso y gasto medio"
142,"Male",32,75,93,1,"Jóvenes con alto gasto"
143,"Female",28,76,40,3,"Ingreso y gasto medio"
144,"Female",32,76,87,1,"Jóvenes con alto gasto"
145,"Male",25,77,12,3,"Ingreso y gasto medio"
146,"Male",28,77,97,1,"Jóvenes con alto gasto"
147,"Male",48,77,36,3,"Ingreso y gasto medio"
148,"Female",32,77,74,1,"Jóvenes con alto gasto"
149,"Female",34,78,22,3,"Ingreso y gasto medio"
150,"Male",34,78,90,1,"Jóvenes con alto gasto"
151,"Male",43,78,17,3,"Ingreso y gasto medio"
152,"Male",39,78,88,1,"Jóvenes con alto gasto"
153,"Female",44,78,20,3,"Ingreso y gasto medio"
154,"Female",38,78,76,1,"Jóvenes con alto gasto"
155,"Female",47,78,16,3,"Ingreso y gasto medio"
156,"Female",27,78,89,1,"Jóvenes con alto gasto"
157,"Male",37,78,1,3,"Ingreso y gasto medio"
158,"Female",30,78,78,1,"Jóvenes con alto gasto"
159,"Male",34,78,1,3,"Ingreso y gasto medio"
160,"Female",30,78,73,1,"Jóvenes con alto gasto"
161,"Female",56,79,35,4,"Adultos mayores con gasto medio-alto"
162,"Female",29,79,83,1,"Jóvenes con alto gasto"
163,"Male",19,81,5,3,"Ingreso y gasto medio"
164,"Female",31,81,93,1,"Jóvenes con alto gasto"
165,"Male",50,85,26,3,"Ingreso y gasto medio"
166,"Female",36,85,75,1,"Jóvenes con alto gasto"
167,"Male",42,86,20,3,"Ingreso y gasto medio"
168,"Female",33,86,95,1,"Jóvenes con alto gasto"
169,"Female",36,87,27,3,"Ingreso y gasto medio"
170,"Male",32,87,63,1,"Jóvenes con alto gasto"
171,"Male",40,87,13,3,"Ingreso y gasto medio"
172,"Male",28,87,75,1,"Jóvenes con alto gasto"
173,"Male",36,87,10,3,"Ingreso y gasto medio"
174,"Male",36,87,92,1,"Jóvenes con alto gasto"
175,"Female",52,88,13,3,"Ingreso y gasto medio"
176,"Female",30,88,86,1,"Jóvenes con alto gasto"
177,"Male",58,88,15,3,"Ingreso y gasto medio"
178,"Male",27,88,69,1,"Jóvenes con alto gasto"
179,"Male",59,93,14,3,"Ingreso y gasto medio"
180,"Male",35,93,90,1,"Jóvenes con alto gasto"
181,"Female",37,97,32,3,"Ingreso y gasto medio"
182,"Female",32,97,86,1,"Jóvenes con alto gasto"
183,"Male",46,98,15,3,"Ingreso y gasto medio"
184,"Female",29,98,88,1,"Jóvenes con alto gasto"
185,"Female",41,99,39,3,"Ingreso y gasto medio"
186,"Male",30,99,97,1,"Jóvenes con alto gasto"
187,"Female",54,101,24,3,"Ingreso y gasto medio"
188,"Male",28,101,68,1,"Jóvenes con alto gasto"
189,"Female",41,103,17,3,"Ingreso y gasto medio"
190,"Female",36,103,85,1,"Jóvenes con alto gasto"
191,"Female",34,103,23,3,"Ingreso y gasto medio"
192,"Female",32,103,69,1,"Jóvenes con alto gasto"
193,"Male",33,113,8,3,"Ingreso y gasto medio"
194,"Female",38,113,91,1,"Jóvenes con alto gasto"
195,"Female",47,120,16,3,"Ingreso y gasto medio"
196,"Female",35,120,79,1,"Jóvenes con alto gasto"
197,"Female",45,126,28,3,"Ingreso y gasto medio"
198,"Male",32,126,74,1,"Jóvenes con alto gasto"
199,"Male",32,137,18,3,"Ingreso y gasto medio"
200,"Male",30,137,83,1,"Jóvenes con alto gasto"
